player_id,player_name,api_position,detailed_position,new_signing_2026_27,arrival_date,previous_club,academy_player,notes
70583,Alexander Bah,Defence,,FALSE,,,,
81816,Amar Dedić,Defence,,FALSE,,,,
63,Clément Lenglet,Defence,,TRUE,2026-06-30,Atlético de Madrid,,
282871,Daniel Banjaqui,Defence,,FALSE,,,,
297959,Gabriel Índio,Defence,,TRUE,2026-07-28,Athletic MG,,
289781,José Neto,Defence,,FALSE,,,,
265154,Rafa Obrador,Defence,,FALSE,,,,
175753,Samuel Dahl,Defence,,FALSE,,,,
177842,Tomas Araujo,Defence,,FALSE,,,,
111481,Anatolii Trubin,Goalkeeper,,FALSE,,,,
153846,Samuel Soares,Goalkeeper,,FALSE,,,,
158894,Enzo Barrenechea,Midfield,,FALSE,,,,
38088,Fredrik Aursnes,Midfield,,FALSE,,,,
151558,Heorhii Sudakov,Midfield,,FALSE,,,,
251296,João Rêgo,Midfield,,FALSE,,,,
82403,Leandro Barreiro Martins,Midfield,,FALSE,,,,
194008,Manu Silva,Midfield,,FALSE,,,,
170657,Richard Rios,Midfield,,FALSE,,,,
157796,Andreas Schjelderup,Offence,,FALSE,,,,
291341,Anísio Cabral,Offence,,FALSE,,,,
9553,Bruma,Offence,,FALSE,,,,
8128,Dodi Lukebakio,Offence,,FALSE,,,,
183643,Franjo Ivanovic,Offence,,FALSE,,,,
182123,Gianluca Prestianni,Offence,,FALSE,,,,
127401,Jakub Kamiński,Offence,,TRUE,2026-07-07,FC Köln,,
104493,Jhon Durán,Offence,,FALSE,,,,
16748,Rafa Silva,Offence,,FALSE,,,,
67299,Vangelis Pavlidis,Offence,,FALSE,,,,
